link,price,year,mileage,title,fuel_type,gearbox,isPrivateSeller
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-mercedes-benz-cla-200-amg-line-demo-wyprzedaz-ID6GOZaY.html,179 900,2023,5 000 km,Mercedes-Benz CLA 200 4-Matic AMG Line 8G-DCT,Benzyna,Automatyczna,FALSE
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-200-automat-skora-navi-klimatronic-tempomat-parktronic-ID6HaeP0.html,90 000,2021,227 295 km,Mercedes-Benz CLA,Benzyna,Automatyczna,FALSE
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-cla-200-pakiet-amg-pakiet-night-premium-fv-23-ID6GOXvD.html,199 900,2024,10 557 km,Mercedes-Benz CLA,Benzyna,Automatyczna,FALSE
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-salon-polska-radary-hybrid-plug-in-250e-8g-dct-218km-ID6GIJ6s.html,178 400,2024,5 800 km,Mercedes-Benz CLA 250 e PHEV 8G-DCT,Hybryda Plug-in,Automatyczna,FALSE
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-salon-polska-polroczny-radary-ID6GRfeD.html,157 400,2024,20 300 km,Mercedes-Benz CLA 200 7G-DCT,Benzyna,Automatyczna,FALSE
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-salon-fv23-gwarancja-serwisowa-73169-netto-ID6HblwX.html,89 998,2020,166 342 km,Mercedes-Benz CLA 200 d AMG Line 8G-DCT,Diesel,Automatyczna,FALSE
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-180-136km-shooting-brake-amg-panorama-voll-ID6HblmU.html,95 800,2021,176 853 km,Mercedes-Benz CLA 180 Shooting Brake AMG Line,Benzyna,Manualna,FALSE
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-180d-116km-7g-dct-amg-digital-tacho-hey-mercedes-voll-ID6HblkA.html,109 800,2021,178 185 km,Mercedes-Benz CLA 180 d 7G-DCT AMG Line,Diesel,Automatyczna,FALSE
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-salon-polska-polroczny-radary-ID6GHt4L.html,154 900,2024,14 000 km,Mercedes-Benz CLA 200 AMG Line 7G-DCT,Benzyna,Automatyczna,FALSE
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-180-136km-shooting-brake-amg-panorama-ambiente-voll-ID6HblgY.html,108 800,2020,188 201 km,Mercedes-Benz CLA 180 Shooting Brake 7G-DCT AMG Line Advanced Plus,Benzyna,Automatyczna,FALSE
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-salon-polska-136km-benzyna-automat-ID6GV11L.html,129 900,2022,55 114 km,Mercedes-Benz CLA 180 Progressive 7G-DCT,Benzyna,Automatyczna,FALSE
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-dostepny-od-reki-ID6Ha9jM.html,238 410,2024,1 km,Mercedes-Benz CLA 250 AMG Line 7G-DCT,Benzyna,Automatyczna,FALSE
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-ID6Ha7u5.html,138 000,2022,71 000 km,Mercedes-Benz CLA 250 Shooting Brake 7G-DCT AMG Line,Benzyna,Automatyczna,FALSE
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-dostepny-od-reki-ID6Ha93B.html,204 918,2024,1 km,Mercedes-Benz CLA 200 AMG Line 7G-DCT,Benzyna,Automatyczna,FALSE
